participant_id,voiced_ratio,n_frames_total,n_frames_voiced,voiced_seg_dur_mean,voiced_seg_dur_std,voiced_seg_dur_median,voiced_seg_dur_iqr,voiced_seg_dur_p10,voiced_seg_dur_p90,voiced_seg_per_min,f0_mean,f0_std,f0_median,f0_iqr,f0_p10,f0_p90,naq_mean,naq_std,naq_median,naq_iqr,naq_p10,naq_p90,qoq_mean,qoq_std,qoq_median,qoq_iqr,qoq_p10,qoq_p90,h1h2_mean,h1h2_std,h1h2_median,h1h2_iqr,h1h2_p10,h1h2_p90,psp_mean,psp_std,psp_median,psp_iqr,psp_p10,psp_p90,mdq_mean,mdq_std,mdq_median,mdq_iqr,mdq_p10,mdq_p90,peakslope_mean,peakslope_std,peakslope_median,peakslope_iqr,peakslope_p10,peakslope_p90,rd_mean,rd_std,rd_median,rd_iqr,rd_p10,rd_p90,mcep0_mean,mcep0_std,mcep0_median,mcep0_iqr,mcep0_p10,mcep0_p90,formant_f1_mean,formant_f1_std,formant_f1_median,formant_f1_iqr,formant_f1_p10,formant_f1_p90,formant_f2_mean,formant_f2_std,formant_f2_median,formant_f2_iqr,formant_f2_p10,formant_f2_p90,formant_f3_mean,formant_f3_std,formant_f3_median,formant_f3_iqr,formant_f3_p10,formant_f3_p90,quality_sufficient
300,0.4296001603676119,64851,27860,0.13874501992031874,0.2375353165712945,0.05,0.11000000000000001,0.02,0.35299999999999954,185.7797104131008,153.5949928212491,49.54353406672961,122.5,60.0,119.5,231.0,0.10620450056742642,0.06017822698361575,0.10668,0.09048,0.0234206,0.18470200000000003,0.34225520274243365,0.17202668528612777,0.35458999999999996,0.2372375,0.0967752,0.56581,2.3744611247290166,7.147331847119894,2.5937,7.1636225,-6.141349999999999,10.447,0.29594650478083273,0.19836206479569857,0.25780499999999995,0.22434250000000003,0.0882865,0.548942,0.1222757436913137,0.026588671469826637,0.123245,0.03384000000000001,0.0880987,0.15518100000000004,-0.34505642139267767,0.07031655339059711,-0.34186,0.09204000000000001,-0.44059099999999995,-0.25796,1.443602553481694,0.6275900253080717,1.4388,0.9354475,0.522336,2.3647,-8.353624910265614,1.2454794107738607,-8.6802,1.0703250000000004,-9.44511,-6.435899999999985,543.7945044766913,308.4522994354924,470.9,415.595,226.67000000000002,929.0060000000002,1550.6412526408315,449.796735294014,1586.2,651.75,916.5,2091.1,2456.1860425308805,450.97716161878225,2475.5,574.4499999999998,1875.6,3031.0,1
301,0.3928922550340458,82389,32370,0.16398176291793315,0.1976071437322927,0.09,0.19,0.02,0.4070000000000004,143.7570549466555,115.8322829780661,31.796341792470784,103.5,29.0,89.5,169.5,0.10205510994659871,0.05118416372670333,0.10976,0.06588700000000001,0.021050700000000002,0.16205100000000003,0.3625355759396355,0.18063350078509122,0.38155,0.22812749999999998,0.0867214,0.5987480000000002,-0.2551891609825147,5.740283375880757,0.15902,4.460025,-5.4738299999999995,4.775570000000004,0.2172950601996231,0.1755723154025138,0.17109,0.12491250000000004,0.0857706,0.40704100000000004,0.09138001709607663,0.02628719658354846,0.08798500000000001,0.027565250000000013,0.061651899999999996,0.12621100000000002,-0.3959399593141798,0.06543992540444109,-0.396875,0.08955749999999996,-0.4825,-0.31604899999999997,1.2961013978992895,0.45382786580519585,1.2258,0.614285,0.775857,1.9523300000000006,-8.528566694470188,0.7391828415416822,-8.5038,1.0749499999999994,-9.52531,-7.5682399999999985,551.428361973336,251.42499848854598,520.875,371.18749999999994,253.45100000000002,854.1750000000002,1589.1316227931713,430.00718845309865,1660.8,563.6000000000001,960.091,2108.8,2512.9171055635156,422.65809646514873,2509.6,472.9749999999999,1920.8,3022.3,1
302,0.2344126833511248,75879,17787,0.14472742066720912,0.16938464632317557,0.08,0.17,0.02,0.37,97.18103823192187,125.67554955866645,37.32893072870656,109.5,35.5,95.5,194.0,0.06382897100735481,0.06890333382523922,0.032453,0.0957815,0.0018431600000000002,0.1811,0.23536473454795637,0.21980779293773675,0.15151,0.294635,0.0132996,0.619894,2.3269573731652327,6.491738053348218,2.2965,5.693099999999999,-4.25106,9.41002,0.47579699336969133,0.39266336038495275,0.3512,0.448675,0.08688900000000002,1.03284,0.11415323243885984,0.026137912692985495,0.11375,0.030999000000000027,0.0815824,0.146588,-0.4084652246022376,0.051289074266909505,-0.41679,0.06802999999999998,-0.46631,-0.33972,1.6791263158486536,0.4805011840794961,1.6973,0.6547999999999998,1.0395200000000002,2.33094,-9.178665930173723,0.507095270058615,-9.2425,0.7104499999999998,-9.77054,-8.472719999999999,532.1493206297531,279.7181317407037,468.26,350.175,246.78,895.4,1561.2320176351966,445.8460216274884,1619.0,685.3,944.88,2106.0,2452.1770502563563,425.3736096586443,2442.2,503.4500000000003,1906.6,3000.3,1
303,0.5073227171695643,98529,49986,0.17909709781440344,0.21484008258324513,0.1,0.225,0.02,0.45,169.96011326614502,199.18730244468452,43.504284467072786,189.0,39.0,160.5,256.0,0.11940711130443124,0.052926932096055264,0.12201,0.0578535,0.04116,0.18360500000000002,0.4236270201539631,0.16340878859753166,0.45751,0.17294500000000002,0.16846,0.59337,5.859107426669948,6.42641008299207,6.28055,8.413475,-1.11735,13.354,0.2674035013587805,0.1567683788551093,0.23714,0.1448725,0.13378,0.44972500000000004,0.11247765799223781,0.02786024598927432,0.11232500000000001,0.037711499999999995,0.076923,0.14897,-0.35989155141439605,0.06468847486358863,-0.36480500000000005,0.08411999999999997,-0.44015499999999996,-0.273505,1.5061936430200458,0.4415579401765315,1.4786,0.589675,0.959715,2.1173,-8.52557398271516,0.7465957187248743,-8.4918,1.1404999999999994,-9.5694,-7.5619499999999995,500.2850919363029,229.26746529345127,460.7,287.65,258.34,808.995,1635.6178795929557,442.5261195692098,1744.6,576.9749999999999,976.145,2126.8,2560.7604443158043,468.40762733548127,2560.25,614.875,1906.9,3163.55,1
304,0.4095760787282362,79260,32463,0.14898118402937127,0.20426446946831164,0.06,0.15,0.02,0.39,164.95079485238455,218.01708098450544,48.12775231968089,205.0,54.5,172.5,283.5,0.11723743785948516,0.05734568357266188,0.12225,0.07257350000000001,0.03041400000000001,0.187588,0.38644396373907525,0.16816122011273535,0.41856,0.20301000000000002,0.11916,0.5735439999999999,5.060366334203278,6.285884854700191,5.3273,8.17633,-1.5809999999999997,12.269,0.2682867707707236,0.17785823011063706,0.23279,0.15493999999999997,0.11622,0.46567199999999986,0.11614225642300466,0.029521573377296637,0.11773,0.040334499999999995,0.0766516,0.152898,-0.35486494686258196,0.060764769447512974,-0.36237,0.08082499999999998,-0.42741,-0.268772,1.4703305972953826,0.4601389575688833,1.4417,0.6172499999999999,0.8915940000000001,2.1202,-8.801770680466994,0.737569780068635,-8.8846,1.0792000000000002,-9.71348,-7.771680000000001,510.9981500201974,230.28861352035577,474.455,309.1475,259.85,809.59,1631.0135960261557,466.53060629255236,1754.9,652.8000000000002,902.542,2157.3,2538.4230591532228,454.6400706824007,2527.9,590.3749999999995,1946.8,3132.4300000000003,1
305,0.38221830985915495,170400,65130,0.1407911802853437,0.17641595912947308,0.07,0.15,0.02,0.36,162.88732394366198,126.22418240442192,39.949955396338055,114.0,32.5,94.0,192.0,0.07968320924571504,0.05268529515686831,0.073764,0.079302,0.011865500000000003,0.15141099999999996,0.24900296503225858,0.2245238577518851,0.23816,0.19665250000000004,0.05511640000000001,0.44047,1.099579621108859,8.319965113607587,1.27525,8.0825,-9.39283,10.456099999999998,0.29834527610937966,0.24421752139071612,0.21907,0.26406,0.08553770000000001,0.626752,0.11201113843282665,0.027762231621131946,0.11254,0.0367845,0.0761089,0.14697,-0.4559786417933364,0.05405049031154164,-0.46177,0.07613000000000003,-0.5211210000000001,-0.383477,1.520512276370336,0.5953622223193599,1.5122,0.92215,0.697643,2.3991,-7.336366869338246,0.5891489977188603,-7.355,0.7716000000000003,-8.0705,-6.58039,477.4764452701116,164.12073117128884,445.45,251.01500000000004,297.0,692.6610000000001,1479.7952675866118,450.61633895959005,1434.1,639.9000000000001,935.36,2116.5,2490.3386874339403,480.86519555520414,2443.9,573.5999999999999,1937.3,3185.8,1
306,0.42150590264424476,85809,36169,0.12493609671848016,0.13485969575769993,0.08,0.15,0.02,0.3,202.42631891759603,182.720091791313,49.68216370932421,166.0,57.0,138.5,263.5,0.1010420458843114,0.06552203441212899,0.091684,0.096774,0.0178452,0.196422,0.29494252144785316,0.1665700853657311,0.29142,0.25059,0.067773,0.51844,2.098255703250435,8.476378559031497,0.71775,11.308300000000001,-8.09522,13.156200000000002,0.3051715932919378,0.2091006014108628,0.26866,0.22627,0.09183080000000003,0.556366,0.1132785151118361,0.030855211681962313,0.11475,0.04270499999999999,0.07151439999999999,0.15216,-0.45114276701042333,0.054032363251164915,-0.45599,0.07293,-0.5168119999999999,-0.37964,1.4556129649700018,0.5435956501905852,1.4515,0.8010000000000002,0.719136,2.2229200000000002,-7.5195640133816255,0.5484989468151221,-7.5771,0.6802000000000001,-8.15784,-6.8273,483.118481507265,191.5821005249537,431.73,251.53000000000003,286.562,775.4,1542.241898777861,508.09372526750576,1552.0,879.5999999999999,889.6700000000001,2210.3,2553.542044196923,504.28867408814904,2545.4,701.8999999999996,1937.72,3207.6,1
307,0.5581575569709152,123879,69144,0.18855740387237524,0.26018635088620395,0.07,0.22,0.02,0.51,177.60879567965515,209.09417303019785,46.44586238123976,198.0,52.0,167.0,272.0,0.12112295662976108,0.0613008571949554,0.120665,0.08959875,0.0396732,0.20271700000000006,0.35967908326446263,0.16101719923295166,0.36976,0.228595,0.14062,0.56273,3.984095668672727,8.018105922838815,4.09695,10.445487499999999,-6.24615,13.852700000000004,0.3254713225340015,0.18650560597527113,0.29427,0.21104250000000002,0.138433,0.5541720000000002,0.12030819399340506,0.027954049866116118,0.12172,0.037812499999999985,0.0830736,0.15514,-0.3833202855200741,0.07621642486438623,-0.38595,0.10830250000000002,-0.4816,-0.28167299999999995,1.4729283326102047,0.552908239835242,1.4691,0.81575,0.72202,2.2667700000000006,-6.8035938302672685,0.7238280667138259,-6.81395,1.0458249999999998,-7.73657,-5.85943,511.27340132367914,172.02980430921545,497.0,205.09499999999997,312.48,744.92,1596.0652595639456,493.0133684943896,1674.7,831.1999999999998,914.575,2191.7,2579.6515098669856,516.5743940257557,2567.4,819.8000000000002,1932.55,3256.05,1
308,0.2702166897187644,86760,23444,0.10929603729603729,0.13953208020454794,0.04,0.13,0.02,0.29,148.34024896265558,200.15993431155093,45.72122309462539,186.5,51.0,160.0,268.0,0.11206322226268896,0.0759504015740214,0.11278,0.13202599999999998,0.00430243,0.21382400000000001,0.3165538244711099,0.18828364981105833,0.341165,0.3123175,0.0196692,0.5490240000000001,6.291953731576864,8.473555521293633,7.1389499999999995,12.418,-3.7737499999999997,16.4887,0.3374816509649804,0.2756910251138922,0.28658,0.2312875,0.05429820000000002,0.6056020000000001,0.12377760822129329,0.02928660978141446,0.12607,0.0394625,0.0845132,0.15945,-0.46776994966729235,0.0481041001780386,-0.47626500000000005,0.062042500000000056,-0.521507,-0.40258499999999997,1.4775615185121993,0.5508204826460434,1.4743,0.815525,0.7295,2.2631,-7.619177192458625,0.509803731748044,-7.68265,0.6664500000000002,-8.2086,-6.93409,494.33780968121295,199.82036217693928,444.75,276.93000000000006,282.464,787.4620000000001,1446.4300352798757,508.7742594022379,1357.5,844.05,859.5880000000001,2158.5,2495.7667868795756,522.9072689878992,2461.6,712.9499999999998,1874.94,3214.6600000000003,1
309,0.2474178603306839,70581,17463,0.15291593695271452,0.18873389083539405,0.08,0.16,0.02,0.41900000000000087,97.07995069494625,143.56585351886847,38.40080749378046,126.0,47.0,114.5,210.0,0.06294261609135819,0.03420190161443103,0.067917,0.03894200000000001,0.008020860000000001,0.09799020000000003,0.2147611779888049,0.10944098227289559,0.2322,0.11243,0.0371588,0.32325600000000004,-1.2339692622434424,5.603460176324731,-2.4651,3.92909,-5.76396,6.023840000000009,0.16389241448571265,0.20791994114023749,0.08052,0.138483,0.0405834,0.39346600000000004,0.08375956791673825,0.034636039726334396,0.07105,0.05156200000000001,0.0507404,0.13610400000000003,-0.35097197285689746,0.06818976703572609,-0.35248,0.08653,-0.438778,-0.26213,0.9366978938326749,0.5884463143432012,0.60675,0.8951100000000002,0.44554,1.8579800000000002,-8.910909173681498,1.6705751701230593,-8.3203,3.208549999999999,-11.454,-7.08152,739.2393995465175,338.9800589094182,728.49,466.31,305.92,1181.1,1671.4239564940126,413.3811054124784,1641.3,554.5,1169.3400000000001,2205.5,2567.9977410897754,436.04896767651627,2574.0,563.8999999999996,2019.3400000000001,3129.36,1
310,0.21962622353205744,84489,18556,0.14328957528957528,0.15616095648874545,0.08,0.16,0.02,0.36,91.96463444945496,90.7516975641302,23.661044361806468,84.0,20.5,70.5,121.0,0.05816104182711037,0.032895654540421704,0.0621415,0.03833924999999999,0.004826550000000001,0.0935665,0.2372448124904182,0.11653208024141609,0.269165,0.13155499999999998,0.024157,0.348325,-0.9836571098427462,5.090220843919272,-1.17875,2.3125587499999996,-3.59735,2.9917,0.13006752698887153,0.18513344867838424,0.067829,0.07139475,0.027386,0.3098,0.0744452992274445,0.032232541239762054,0.0642575,0.03352775,0.0452625,0.124585,-0.38253428055615435,0.05342947937900321,-0.38163,0.07029999999999997,-0.45157,-0.31772500000000004,0.8663000700582022,0.46196351194756313,0.678315,0.4369574999999999,0.487565,1.5718,-9.036305539987065,1.1527746796209262,-8.745,1.4057499999999994,-11.064,-7.8352,737.2302712983245,343.72225641296717,696.02,430.72,344.0,1211.4,1648.5269268841396,411.11125843908917,1607.6,495.8000000000002,1165.94,2203.0,2548.2449324492336,442.99670858603093,2545.5,554.4499999999998,1968.0,3122.9600000000005,1
